1.52708,1.28495,11970.6
0.580778,-0.0695057,109.904
0.107627,-0.746734,16.7251
2.99396,-10,58.3009
4.11389,3.66467,35966.6
-2.23159,-10,17590.8
4.53109,-10,22450.5
-2.27389,-6.49279,93225.2
-1.97015,-5.52019,13614.1
5.34176,-6.36731,8847.96
-2.02201,1.39726,121832
-0.763292,-6.21918,733.424
3.52586,-10,4629.54
2.33279,-4.37472,50324.5
0.764593,-4.41791,9638.38
0.362399,-4.69636,2502.57
3.41711,-3.90716,2331.06
-1.19102,-7.50772,24291.4
0.322647,-4.45829,7972.59
1.55425,-4.30234,2082
1.48795,-0.266833,4513.52
1.94183,-10,615.687
0.729037,-6.20873,18964.1
1.40671,-5.43865,4543.14
3.3635,-4.47715,5502.07
2.42403,-10,24938.9
-2.4103,4.51976,25206.6
-3.06371,-10,177.987
4.40738,-2.19886,37599.3
-2.54524,-7.91707,46770.7
-1.62479,-3.80523,20735.1
2.56093,-3.39886,4160.91
4.30571,-5.55112,9917.11
1.20312,-5.58199,58045.1
-2.31346,-7.44504,4941.4
2.86246,-3.40579,16387.7
0.787326,-10,13458.3
2.33603,-1.72282,11278.2
2.66604,-3.23086,5156.8
1.35643,-7.28991,10691.5
1.576,1.84966,8335.47
2.69988,-6.73088,40.5436
3.02512,-2.85226,19659.6
1.05101,-5.9503,14412.7
1.66756,-2.22554,4977.18
1.31105,-3.76629,2506.74
1.28596,-10,3008.76
-0.532285,-0.724773,13580.9
0.678815,-5.13851,103.975
3.72727,-7.58766,3135.32
-2.38316,1.67638,46147.2
-1.98834,3.30808,1613.9
1.07119,-10,50.5883
2.52181,-2.8241,12426.6
-0.362664,-4.89818,8436.18
-1.65367,-8.42171,2531.65
4.81896,-2.51084,12453.4
0.983437,-3.47208,66234.6
0.328745,-8.11726,1970.67
0.643675,-5.21538,6766.06
3.92963,-1.05604,3169.47
-3.15822,-10,27227.1
-3.82452,-10,39914.8
9.64814,6.88835,60671.8
-6.5955,-2.21457,743088
-0.816333,-9.65555,209046
3.14804,-7.61146,10657.6
-0.168666,5.57316,30705.3
-1.25109,-10,3075.75
0.813082,-9.19004,13380.5
2.2533,8.49276,9704.52
2.4929,-10,1168.06
2.53831,-10,26293.4
1.34318,3.08867,27039.7
0.718675,-5.75981,165.12
3.08177,-8.47257,3939.28
0.578884,-1.74583,32296
0.828501,-6.95977,433.207
2.60152,-7.60906,5846.44
-0.948398,-2.74342,20672.3
2.40632,2.28728,1330.85
2.74013,-8.96211,1229.13
0.698956,-0.81995,27130.5
0.182373,3.03519,171.305
0.527184,-10,901.829
1.45795,-5.96371,10563.8
0.474006,-0.953107,6543.96
3.88924,-9.74079,138.995
1.05084,-7.64541,61844.9
-0.891081,-1.70715,7655.69
-0.504339,-10,629.166
2.11482,-7.98408,10517.4
3.24149,-5.43594,15517.8
0.149147,-0.936182,25423.6
1.86752,-10,92.5822
3.03003,0.620294,18192.4
3.113,0.298354,7332.84
0.86505,-10,8826.26
1.39858,-5.96566,11552.6
2.63952,-3.56281,6275.47
